match_id,match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls
T20I # 1836,U.A.E. vs Namibia,Namibia,Ruben Trumpelmann,4.0,0,22,0,5.5,10,0,0,3,0
T20I # 1836,U.A.E. vs Namibia,Namibia,David Wiese,4.0,0,27,1,6.75,12,2,1,1,0
T20I # 1836,U.A.E. vs Namibia,Namibia,Bernard Scholtz,4.0,0,22,1,5.5,11,1,1,0,0
T20I # 1836,U.A.E. vs Namibia,Namibia,JJ Smit,4.0,0,39,0,9.75,11,2,3,0,0
T20I # 1836,U.A.E. vs Namibia,Namibia,Jan Frylinck,3.0,0,30,0,10.0,3,2,1,1,0
T20I # 1836,U.A.E. vs Namibia,Namibia,Ben Shikongo,1.0,0,8,1,8.0,1,1,0,0,0
T20I # 1825,U.A.E. vs Netherlands,Netherlands,Fred Klaassen,4.0,0,13,2,3.25,18,0,0,3,0
T20I # 1825,U.A.E. vs Netherlands,Netherlands,Tim Pringle,4.0,0,13,1,3.25,11,0,0,0,0
T20I # 1825,U.A.E. vs Netherlands,Netherlands,Logan van Beek,2.0,0,19,0,9.5,5,0,2,1,0
T20I # 1825,U.A.E. vs Netherlands,Netherlands,Bas de Leede,3.0,0,19,3,6.33,9,2,0,2,0
T20I # 1825,U.A.E. vs Netherlands,Netherlands,Paul van Meekeren,4.0,0,21,0,5.25,11,1,0,0,0
T20I # 1825,U.A.E. vs Netherlands,Netherlands,Roelof van der Merwe,3.0,0,19,1,6.33,7,0,1,0,0
T20I # 1837,West Indies vs Ireland,Ireland,Josh Little,4.0,0,31,0,7.75,8,1,2,1,0
T20I # 1837,West Indies vs Ireland,Ireland,Mark Adair,4.0,0,26,0,6.5,12,1,1,4,0
T20I # 1837,West Indies vs Ireland,Ireland,Barry McCarthy,4.0,0,33,1,8.25,9,3,1,1,0
T20I # 1837,West Indies vs Ireland,Ireland,Curtis Campher,2.0,0,28,0,14.0,2,4,1,0,0
T20I # 1837,West Indies vs Ireland,Ireland,Simi Singh,2.0,0,11,1,5.5,4,1,0,0,0
T20I # 1837,West Indies vs Ireland,Ireland,Gareth Delany,4.0,0,16,3,4.0,12,1,0,1,0
T20I # 1834,West Indies vs Zimbabwe,Zimbabwe,Richard Ngarava,3.0,0,20,0,6.66,9,1,1,1,0
T20I # 1834,West Indies vs Zimbabwe,Zimbabwe,Tendai Chatara,3.0,0,22,0,7.33,5,2,0,2,0
T20I # 1834,West Indies vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4.0,0,38,2,9.5,10,2,2,2,1
T20I # 1834,West Indies vs Zimbabwe,Zimbabwe,Ryan Burl,3.0,0,27,0,9.0,5,3,1,0,0
T20I # 1834,West Indies vs Zimbabwe,Zimbabwe,Sikandar Raza,4.0,0,19,3,4.75,7,0,0,0,0
T20I # 1834,West Indies vs Zimbabwe,Zimbabwe,Sean Williams,3.0,0,17,1,5.66,7,1,0,0,1
T20I # 1828,Zimbabwe vs Ireland,Ireland,Josh Little,4.0,0,24,3,6.0,11,3,0,0,0
T20I # 1828,Zimbabwe vs Ireland,Ireland,Mark Adair,4.0,0,39,2,9.75,6,3,1,2,0
T20I # 1828,Zimbabwe vs Ireland,Ireland,Barry McCarthy,4.0,0,24,0,6.0,11,2,0,2,0
T20I # 1828,Zimbabwe vs Ireland,Ireland,Curtis Campher,3.0,0,29,0,9.66,6,2,2,0,0
T20I # 1828,Zimbabwe vs Ireland,Ireland,Simi Singh,3.0,0,31,2,10.33,5,2,2,1,0
T20I # 1828,Zimbabwe vs Ireland,Ireland,Gareth Delany,2.0,0,21,0,10.5,4,2,1,1,0
T20I # 1859,Zimbabwe vs Netherlands,Netherlands,Fred Klaassen,4.0,0,17,1,4.25,17,0,1,2,0
T20I # 1859,Zimbabwe vs Netherlands,Netherlands,Paul van Meekeren,4.0,0,29,3,7.25,13,3,0,2,0
T20I # 1859,Zimbabwe vs Netherlands,Netherlands,Brandon Glover,4.0,1,29,2,7.25,15,2,2,2,0
T20I # 1859,Zimbabwe vs Netherlands,Netherlands,Logan van Beek,2.2,0,17,2,7.28,8,1,1,1,0
T20I # 1859,Zimbabwe vs Netherlands,Netherlands,Bas de Leede,4.0,0,14,2,3.5,11,0,0,0,0
T20I # 1859,Zimbabwe vs Netherlands,Netherlands,Roelof van der Merwe,1.0,0,8,0,8.0,2,1,0,0,0
T20I # 1849,Zimbabwe vs Pakistan,Pakistan,Shaheen Shah Afridi,4.0,0,29,0,7.25,9,3,0,0,0
T20I # 1849,Zimbabwe vs Pakistan,Pakistan,Naseem Shah,4.0,0,34,0,8.5,7,4,0,2,0
T20I # 1849,Zimbabwe vs Pakistan,Pakistan,Mohammad Wasim,4.0,0,24,4,6.0,16,2,1,4,0
T20I # 1849,Zimbabwe vs Pakistan,Pakistan,Haris Rauf,4.0,1,12,1,3.0,15,0,0,0,0
T20I # 1849,Zimbabwe vs Pakistan,Pakistan,Shadab Khan,4.0,0,23,3,5.75,8,1,0,0,0
T20I # 1844,Zimbabwe vs South Africa,South Africa,Kagiso Rabada,2.0,0,20,0,10.0,4,2,1,0,0
T20I # 1844,Zimbabwe vs South Africa,South Africa,Wayne Parnell,2.0,0,6,1,3.0,9,1,0,0,0
T20I # 1844,Zimbabwe vs South Africa,South Africa,Lungi Ngidi,2.0,0,20,2,10.0,6,2,1,2,0
T20I # 1844,Zimbabwe vs South Africa,South Africa,Keshav Maharaj,1.0,0,10,0,10.0,1,1,0,0,0
T20I # 1844,Zimbabwe vs South Africa,South Africa,Anrich Nortje,2.0,0,10,1,5.0,5,0,0,0,0
